StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8,Q9_1_x,Q9_1_y
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_bdBQt8WFSmJt8Ng,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_0THFdylJBe3gqSa,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_3W2zgInrHTNsslw,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Prefer not to say,21 - 40,mountains,1,3,2,,,,Sometimes,Never,Always,more than 11 years ago,256,118
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_7WCb0W1mtXVLPqC,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_8iEiUGx3z33rqaG,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:28,R_8vNS45cfxgwQoMm,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Prefer not to say,21 - 40,mountains,2,1,3,,,,Sometimes,Never,Never,less than a year ago,787,155
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_5usoJq5yVDBjMi2,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_b2D9cIgYP1Be8aG,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0jiDvIc2AdFSXVY,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0SNC88I8d0vtI58,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Female,21 - 40,beach,,,,3,1,2,Sometimes,Never,Always,more than 11 years ago,709,154
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_9Zx4J9ymFuMikku,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_7UJ0scBVOGPfKt0,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Female,0 - 20,mountains,2,3,1,,,,Sometimes,Never,Sometimes,more than 11 years ago,8,8
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0JPhmeBxKVHrpWe,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_4It50pU1QaYPWVo,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Non-binary / third gender,0 - 20,mountains,3,2,1,,,,Sometimes,Sometimes,Sometimes,more than 11 years ago,562,359
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0vnXFVXaahXMqOy,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_6fDtVI6Nkp6dZZA,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:29,2022-09-01 05:24:29,Survey Test,,100,0,True,2022-09-01 05:24:29,R_9zZm5M1n7aNloTs,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
